Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
8.0,1.0,1.0,0,,,,0.8511666666666671,0,0,0,0.0
